date,Open,High,Low,OT,Adj Close,Volume
9/18/2019,367.75,372,365.75,371.25,371.25,126832
9/19/2019,371.5,373.75,369.5,372.75,372.75,117069
9/20/2019,372.75,374.5,369.5,370.75,370.75,132998
9/23/2019,371.25,374.5,371,373.25,373.25,100443
9/24/2019,372,376,370.25,374.75,374.75,144294
9/25/2019,375.25,377.5,372.25,374.25,374.25,119189
9/26/2019,373.5,375.75,368.25,372.5,372.5,175419
9/27/2019,371.25,373,369.75,371.5,371.5,90796
9/30/2019,372,388.25,371.5,388,388,337247
10/1/2019,386.75,392.75,385.25,392.5,392.5,227065
10/2/2019,390.5,391.75,385.5,387.75,387.75,158921
10/3/2019,387,390.75,385.5,388.75,388.75,125489
10/4/2019,388,389,383.75,384.75,384.75,116336
10/7/2019,387.5,387.75,385,387,387,100421
10/8/2019,387.5,396.5,386,395.75,395.75,200460
10/9/2019,395.5,397.25,393,394.25,394.25,140853
10/10/2019,392.75,395,378.25,380.25,380.25,297046
10/11/2019,380.75,398.75,380.5,397.75,397.75,272436
10/14/2019,401.25,402.5,393.25,397.75,397.75,170713
10/15/2019,397,398.5,392.5,393.25,393.25,143675
10/16/2019,392,392.75,387.5,391.75,391.75,139675
10/17/2019,391.75,397.25,391.5,394.75,394.75,141532
10/18/2019,394,395.75,389.75,391,391,122010
10/21/2019,390,393.75,386.5,387.25,387.25,150187
10/22/2019,387,392.5,385,388,388,136694
10/23/2019,387.75,389.5,384,387.75,387.75,117561
10/24/2019,388.5,390.75,385.25,386.75,386.75,130664
10/25/2019,387,390,385.75,386.75,386.75,131677
10/28/2019,386,386.5,383.25,384,384,122790
10/29/2019,383.5,387.5,382,386.25,386.25,153732
10/30/2019,385.75,391.25,385.25,390.75,390.75,177034
10/31/2019,390.25,391,384.75,390,390,176193
11/1/2019,389.25,391.75,386.25,389.25,389.25,151943
11/4/2019,386.75,387.75,383,383.25,383.25,145373
11/5/2019,383.25,384.75,380.5,381.75,381.75,157127
11/6/2019,382.25,385,377.5,378.75,378.75,185339
11/7/2019,379.25,380,373.75,375.25,375.25,219147
11/8/2019,375.25,383.75,372.5,377.25,377.25,343769
11/11/2019,376,377,372.5,373.25,373.25,211215
11/12/2019,373.5,378,372.75,377.75,377.75,220513
11/13/2019,377,377.75,375,375.25,375.25,195982
11/14/2019,375.25,377.5,374.5,375.75,375.75,144893
11/15/2019,375.5,376.5,370.75,371.25,371.25,140175
